Accession	Sample Name	SPUID	Organism	Tax ID	BioProject
SAMN15541168	SG1-S1	SG1-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541169	SG1-S2	SG1-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541170	SG1-S3	SG1-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541171	SG1-S4	SG1-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541172	SG1-S5	SG1-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541173	SG1-blank	SG1-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541174	SG2-S1	SG2-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541175	SG2-S2	SG2-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541176	SG2-S3	SG2-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541177	SG2-S4	SG2-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541178	SG2-S5	SG2-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541179	SG2-blank	SG2-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541180	BL3-S1	BL3-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541181	BL3-S2	BL3-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541182	BL3-S3	BL3-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541183	BL3-S4	BL3-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541184	BL3-S5	BL3-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541185	BL3-blank	BL3-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541186	SG5-S1	SG5-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541187	SG5-S2	SG5-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541188	SG5-S3	SG5-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541189	SG5-S4	SG5-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541190	SG5-S5	SG5-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541191	SG5-blank	SG5-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541192	SG7-S1	SG7-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541193	SG7-S2	SG7-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541194	SG7-S3	SG7-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541195	SG7-S4	SG7-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541196	SG7-S5	SG7-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541197	SG7-blank	SG7-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541198	SG8-S1	SG8-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541199	SG8-S2	SG8-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541200	SG8-S3	SG8-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541201	SG8-S4	SG8-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541202	SG8-S5	SG8-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541203	SG8-blank	SG8-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541204	SG9-S1	SG9-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541205	SG9-S2	SG9-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541206	SG9-S3	SG9-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541207	SG9-S4	SG9-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541208	SG9-S5	SG9-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541209	SG9-blank	SG9-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541210	SG10-S1	SG10-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541211	SG10-S2	SG10-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541212	SG10-S3	SG10-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541213	SG10-S4	SG10-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541214	SG10-S5	SG10-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541215	SG10-blank	SG10-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541216	pos1	pos1	fish metagenome	496924	PRJNA646357
SAMN15541217	neg1	neg1	metagenome	256318	PRJNA646357
SAMN15541218	W13-S1	W13-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541219	W13-S2	W13-S2	freshwater metagenome	449393	PRJNA646357
