SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
SG1-S1	12S	SRR12232539	SAMN15541168	PRJNA646357
SG1-S2	12S	SRR12232538	SAMN15541169	PRJNA646357
SG1-S3	12S	SRR12232519	SAMN15541170	PRJNA646357
SG1-S4	12S	SRR12232508	SAMN15541171	PRJNA646357
SG1-S5	12S	SRR12232497	SAMN15541172	PRJNA646357
SG1-blank	12S	SRR12232486	SAMN15541173	PRJNA646357
SG2-S1	12S	SRR12232475	SAMN15541174	PRJNA646357
SG2-S2	12S	SRR12232464	SAMN15541175	PRJNA646357
SG2-S3	12S	SRR12232453	SAMN15541176	PRJNA646357
SG2-S4	12S	SRR12232442	SAMN15541177	PRJNA646357
SG2-S5	12S	SRR12232537	SAMN15541178	PRJNA646357
SG2-blank	12S	SRR12232528	SAMN15541179	PRJNA646357
BL3-S1	12S	SRR12232527	SAMN15541180	PRJNA646357
BL3-S2	12S	SRR12232526	SAMN15541181	PRJNA646357
BL3-S3	12S	SRR12232525	SAMN15541182	PRJNA646357
BL3-S4	12S	SRR12232524	SAMN15541183	PRJNA646357
BL3-S5	12S	SRR12232523	SAMN15541184	PRJNA646357
BL3-blank	12S	SRR12232522	SAMN15541185	PRJNA646357
SG5-S1	12S	SRR12232521	SAMN15541186	PRJNA646357
SG5-S2	12S	SRR12232520	SAMN15541187	PRJNA646357
SG5-S3	12S	SRR12232518	SAMN15541188	PRJNA646357
SG5-S4	12S	SRR12232517	SAMN15541189	PRJNA646357
SG5-S5	12S	SRR12232516	SAMN15541190	PRJNA646357
SG5-blank	12S	SRR12232515	SAMN15541191	PRJNA646357
SG7-S1	12S	SRR12232514	SAMN15541192	PRJNA646357
SG7-S2	12S	SRR12232513	SAMN15541193	PRJNA646357
SG7-S3	12S	SRR12232512	SAMN15541194	PRJNA646357
SG7-S4	12S	SRR12232511	SAMN15541195	PRJNA646357
SG7-S5	12S	SRR12232510	SAMN15541196	PRJNA646357
SG7-blank	12S	SRR12232509	SAMN15541197	PRJNA646357
SG8-S1	12S	SRR12232507	SAMN15541198	PRJNA646357
SG8-S2	12S	SRR12232506	SAMN15541199	PRJNA646357
SG8-S3	12S	SRR12232505	SAMN15541200	PRJNA646357
SG8-S4	12S	SRR12232504	SAMN15541201	PRJNA646357
SG8-S5	12S	SRR12232503	SAMN15541202	PRJNA646357
SG8-blank	12S	SRR12232502	SAMN15541203	PRJNA646357
SG9-S1	12S	SRR12232501	SAMN15541204	PRJNA646357
SG9-S2	12S	SRR12232500	SAMN15541205	PRJNA646357
SG9-S3	12S	SRR12232499	SAMN15541206	PRJNA646357
SG9-S4	12S	SRR12232498	SAMN15541207	PRJNA646357
SG9-S5	12S	SRR12232496	SAMN15541208	PRJNA646357
SG9-blank	12S	SRR12232495	SAMN15541209	PRJNA646357
SG10-S1	12S	SRR12232494	SAMN15541210	PRJNA646357
SG10-S2	12S	SRR12232493	SAMN15541211	PRJNA646357
SG10-S3	12S	SRR12232492	SAMN15541212	PRJNA646357
SG10-S4	12S	SRR12232491	SAMN15541213	PRJNA646357
SG10-S5	12S	SRR12232490	SAMN15541214	PRJNA646357
SG10-blank	12S	SRR12232489	SAMN15541215	PRJNA646357
pos1	12S	SRR12232488	SAMN15541216	PRJNA646357
neg1	12S	SRR12232487	SAMN15541217	PRJNA646357
W13-S1	12S	SRR12232485	SAMN15541218	PRJNA646357
W13-S2	12S	SRR12232484	SAMN15541219	PRJNA646357
W13-S3	12S	SRR12232483	SAMN15541220	PRJNA646357
W13-S4	12S	SRR12232482	SAMN15541221	PRJNA646357
W13-S5	12S	SRR12232481	SAMN15541222	PRJNA646357
W13-blank	12S	SRR12232480	SAMN15541223	PRJNA646357
W14-S1	12S	SRR12232479	SAMN15541224	PRJNA646357
W14-S2	12S	SRR12232478	SAMN15541225	PRJNA646357
W14-S3	12S	SRR12232477	SAMN15541226	PRJNA646357
W14-S4	12S	SRR12232476	SAMN15541227	PRJNA646357
W14-S5	12S	SRR12232474	SAMN15541228	PRJNA646357
W14-blank	12S	SRR12232473	SAMN15541229	PRJNA646357
W15-S1	12S	SRR12232472	SAMN15541230	PRJNA646357
W15-S2	12S	SRR12232471	SAMN15541231	PRJNA646357
W15-S3	12S	SRR12232470	SAMN15541232	PRJNA646357
W15-S4	12S	SRR12232469	SAMN15541233	PRJNA646357
W15-S5	12S	SRR12232468	SAMN15541234	PRJNA646357
W15-blank	12S	SRR12232467	SAMN15541235	PRJNA646357
W17-S1	12S	SRR12232466	SAMN15541236	PRJNA646357
W17-S2	12S	SRR12232465	SAMN15541237	PRJNA646357
W17-S3	12S	SRR12232463	SAMN15541238	PRJNA646357
W17-S4	12S	SRR12232462	SAMN15541239	PRJNA646357
W17-S5	12S	SRR12232461	SAMN15541240	PRJNA646357
