,Anguilla_anguilla,Abramis_brama,Alburnus_alburnus,Blicca_bjoerkna,Carassius_auratus,Cyprinus_carpio,Leuciscus_idus,Leuciscus_leuciscus,Rhodeus_amarus,Rutilus_rutilus,Scardinius_erythrophthalmus,Squalius_cephalus,Tinca_tinca,Barbatula_barbatula,Esox_lucius,Osmerus_eperlanus,Cottus_gobio,Gasterosteus_aculeatus,Pungitius_pungitius,Gymnocephalus_cernua,Platichthys_flesus,Oncorhynchus_mykiss,Lampetra,Perca_fluviatilis,Cobitis_taenia
24.S1,0,1859,242,968,0,0,0,0,0,54924,1934,0,549,0,2605,0,0,458,247,2286,0,0,0,11993,0
24.S2,0,2062,476,938,0,0,0,0,0,63868,4314,0,490,0,3311,0,0,302,0,683,0,0,0,9381,0
24.S3,0,1280,118,194,0,0,0,0,0,45137,1085,0,797,0,2217,0,0,0,0,436,0,0,0,5866,0
24.S4,0,877,0,366,0,0,0,0,0,39528,589,0,1513,0,2255,0,0,172,271,206,0,0,0,11663,290
24.S5,107,522,0,405,0,0,0,0,0,34225,403,0,476,0,1924,0,0,0,193,1050,0,0,0,9955,0
24.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BL3.S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BL3.S2,0,0,0,0,0,0,0,0,0,5191,1510,0,801,0,0,0,0,0,0,0,0,0,0,1615,0
BL3.S3,0,218,0,4,0,0,0,0,0,378,12,0,0,0,0,0,0,0,0,96,0,0,0,44,0
BL3.S5,0,441,0,0,0,0,0,0,0,370,0,0,6,0,0,0,0,0,0,253,0,0,0,154,3
BL3.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
SG1.S1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0
SG1.S2,0,13,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
SG1.S3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG1.S4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG1.S5,101,3841,0,0,0,0,0,0,0,4504,0,0,2704,0,0,0,0,0,0,1257,0,0,0,3878,0
SG1.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG10.S1,0,1840,0,448,0,332,0,0,0,5470,1679,0,131,0,1187,601,278,0,1232,586,0,0,0,4883,0
SG10.S2,0,431,0,0,0,188,0,0,0,8011,271,0,336,0,1440,0,0,0,3360,0,0,0,0,7014,0
SG10.S3,105,844,0,0,0,315,0,0,0,3897,227,0,356,0,719,137,0,844,1029,346,0,0,0,2751,0
SG10.S4,392,1598,0,0,0,0,0,0,0,10926,498,603,172,0,433,275,0,179,3381,455,0,486,0,3917,205
SG10.S5,0,2350,0,0,0,172,0,0,0,7208,382,0,0,0,1578,0,0,0,905,0,0,0,54,1968,0
SG10.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG2.S1,0,12570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,5149,0
SG2.S2,0,7290,0,0,0,0,0,0,0,8032,0,0,0,0,2595,0,0,0,0,0,0,0,0,13540,0
SG2.S3,0,430,0,0,0,0,0,0,0,596,335,0,0,0,0,0,0,0,0,2672,0,0,0,1627,0
SG2.S4,0,2916,0,0,0,0,0,0,0,11394,6317,0,1268,0,0,0,0,0,0,1243,0,0,0,10557,0
SG2.S5,0,6936,0,0,0,0,0,0,0,2465,10360,0,690,0,190,0,0,0,0,221,0,0,0,5074,0
SG2.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG21.S1,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
SG21.S2,0,945,0,35,0,0,0,0,0,323,24,0,0,0,0,0,0,81,0,347,0,0,0,1770,0
SG21.S3,0,3763,0,0,0,0,0,0,0,738,0,0,72,0,0,0,0,0,0,1493,0,0,0,6723,0
SG21.S4,0,2265,0,0,0,0,0,0,0,105,17,0,16,0,0,0,0,0,57,383,0,0,0,3054,0
SG21.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG22.S1,0,50298,3565,12133,0,0,1604,958,1666,141303,5156,0,3582,0,8637,0,0,0,1503,0,1664,0,0,20655,0
SG22.S2,506,21350,509,947,0,0,0,389,4470,39108,1542,0,4413,232,14082,0,496,1454,0,0,245,0,0,14712,556
SG22.S3,0,11194,0,206,0,0,0,477,4052,26970,4347,0,2791,0,17230,0,0,235,313,0,0,0,0,9354,0
SG22.S4,1092,2054,0,0,0,0,0,366,7399,29412,2184,0,2703,0,4354,0,0,0,0,0,0,0,0,7773,0
SG22.S5,0,2160,0,1099,208,0,0,0,6135,55542,2530,0,1415,0,7196,0,0,0,434,0,0,0,0,11268,1507
SG22.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG23.S1,6356,0,0,0,0,0,0,0,0,6993,0,0,1404,0,1239,0,0,1138,0,2387,0,0,0,12398,0
SG23.S2,1691,1926,0,0,0,0,0,0,0,2482,0,0,0,0,1516,0,0,294,0,2339,0,0,0,248,0
SG23.S3,0,3105,0,0,0,0,0,0,0,3314,388,0,2045,0,2348,0,0,714,0,1597,0,0,0,12163,0
