,Abramis brama,Alburnus alburnus,Anguilla anguilla,Blicca bjoerkna,Cobitis taenia,Esox lucius,Gobio gobio,Gymnocephalus cernua,Leuciscus leuciscus,Perca fluviatilis,Platichthys flesus,Pungitius pungitius,Rhodeus amarus,Rutilus rutilus,Scardinius erythrophthalmus,Tinca tinca
1,1,2,0,0,0,4,0,4,0,32,0,0,0,421,10,0
2,0,0,0,0,0,0,0,11,0,64,0,0,0,900,2,0
3,52,1,0,0,0,2,0,2,0,30,0,0,0,206,0,0
5,4,0,0,0,0,0,1,1,0,53,0,0,0,59,1,2
7,1,1,1,1,0,8,0,0,0,9,0,0,0,64,8,4
8,3,0,0,0,0,5,0,0,0,13,0,0,0,34,0,2
9,158,2,0,3,0,1,0,4,0,189,0,0,0,565,71,1
10,164,10,0,20,0,4,1,48,0,145,0,0,0,894,6,1
13,2,0,0,0,1,1,0,0,0,25,0,0,0,120,1,1
14,27,0,0,0,0,5,0,0,0,60,0,0,0,116,3,0
15,0,1,0,0,0,3,0,2,0,8,0,0,0,16,5,1
17,0,0,0,0,2,1,0,0,0,46,0,2,0,77,9,5
18,12,0,0,2,0,10,0,0,0,405,0,0,1,674,6,6
21,81,0,1,182,0,0,0,6,0,249,0,0,0,816,11,3
22,131,0,0,3,0,5,0,1,1,5,16,0,2,4836,1,3
23,105,0,1,46,0,1,0,2,0,162,0,0,0,825,0,1
24,10,6,0,43,1,3,0,3,0,101,0,0,0,399,78,0
